title,calory_count,proteins,fats,carbohydrates
Грейпфрут,35,0.7,0.2,6.5
Гречиха,296,10.8,3.2,56.0
Гречневая крупа продел,300,9.5,2.3,60.4
Гречневая крупа ядрица,308,12.6,3.3,57.1
Гречневая мука,353,13.6,1.2,71.9
Грибы соленые,24,3.0,0.5,2.0
Грибы сушеные,24,3.0,0.5,2.0
Грудинка копчено-запеченная (свинина),514,10.0,52.7,0.0
Грудинка сырокопченая (свинина),605,8.9,63.3,0.0
Груздь,18,1.8,0.8,1.1
Груша,47,0.4,0.3,10.3
Груша сушеная,270,2.3,0.6,62.6
Груши консервированные,42,0.4,0.3,10.3
Губы говяжьи,105,15.0,5.0,0.0
Гуляш бараний,213,14.2,15.6,3.9
Гуляш говяжий,212,16.8,14.3,3.9
Гуляш свиной,333,13.1,29.4,3.9
Гусь,412,15.2,39.0,0.0
Гусята,325,16.6,28.8,0.0
Джакас,120,20.3,4.3,0.0
Джем из абрикосов,276,0.5,0.0,71.6
Джем мандариновый,276,0.3,0.0,71.8
Джем черносмородиновый,284,0.6,0.1,72.9
Драже,516,10.0,35.0,43.0
Драже сахарное,393,0.0,0.0,97.7
Дрепана,88,19.4,1.1,0.0
Дрожжи прессованные,109,12.7,2.7,8.5
Душица,24,1.5,0.0,5.0
Дыня,35,0.6,0.3,7.4
Ежевика,34,1.5,0.5,4.4
Ёрш,88,17.5,2.0,0.0
Ессентуки №4,0,0.0,0.0,0.0
Желатин пищевой,355,87.2,0.4,0.7
Желтоперка,108,17.9,4.0,0.0
Жерех,98,18.8,2.6,0.0
Жимолость,30,0.0,0.0,8.0
Жир бараний,897,0.0,99.7,0.0
Жир говяжий,897,0.0,99.7,0.0
Жир из печени трески,898,0.0,99.8,0.0
Жир кондитерский для шоколадных изделий,897,0.0,99.7,0.0
Жир кондитерский твердый,898,0.0,99.8,0.0
Жир костный топленый,897,0.0,99.7,0.0
Жир кулинарный,897,0.0,99.7,0.0
Жир куриный,897,0.0,99.7,0.0
Жир растительный,898,0.0,99.8,0.0
Жир свиной,897,0.0,99.7,0.0
Жир-сырец курдючный,897,0.0,99.7,0.0
Зеленоглазка,117,19.6,4.3,0.0
Земляника,41,0.8,0.4,7.5
Зерно мягкой пшеницы,305,11.8,2.2,59.5
Зерно твердой пшеницы,304,13.0,2.5,57.5
Зефир,326,0.8,0.1,79.8
Зубан,131,18.8,6.3,0.0
Зубатка пестрая,126,19.6,5.3,0.0
Зубатка полосатая,109,16.0,5.0,0.0
Изюм,264,2.9,0.6,66.0
Икра белужья зернистая,235,26.8,13.8,0.8
Икра вобельная пробойная,88,17.5,2.0,0.0
Икра вобельная ястычная (тарама),88,17.5,2.0,0.0
Икра горбуши зернистая,230,30.6,11.5,1.0
Икра из баклажанов,148,1.7,13.3,5.1
Икра из кабачков,119,1.9,8.9,7.7
Икра кеты зернистая,249,31.5,13.2,1.0
Икра лещевая пробойная,88,17.5,2.0,0.0
Икра лобанья вяленая,88,17.5,2.0,0.0
Икра минтая пробойная,132,27.9,1.8,1.1
Икра осетровая зернистая,200,28.4,9.3,0.6
Икра осетровая паюсная,289,38.2,14.5,1.5
Икра сазанья пробойная,88,17.5,2.0,0.0
Икра севрюги зернистая,221,28.2,11.7,0.7
Икра соленая,88,17.5,2.0,0.0
Икра частиковых рыб свежая,88,17.5,2.0,0.0
Индейка,276,19.5,22.0,0.0
Индюшата,182,18.8,11.7,0.6
Инжир,54,0.7,0.2,12.0
Инжир сушеный,257,3.1,0.8,57.9
Ирга,45,0.0,0.0,12.0
Ирис полутвердый,408,3.3,7.6,81.5
Ирис тираженный,443,6.6,15.9,68.2
Йогурт,52,4.1,1.5,5.9
Кабан-рыба,88,17.5,2.0,0.0
Кабачок,24,0.6,0.3,4.6
Казенат натрия,75,3.0,5.0,4.8
Казецит,75,3.0,5.0,4.8
Каймак (масло консервное),75,3.0,5.0,4.8
Какао-бобы,565,12.8,53.2,9.4
Какаовелла,147,15.0,4.5,11.0
Какао-порошок,289,24.3,15.0,10.2
Какао со сгущенными сливками,75,3.0,5.0,4.8
Какао со сгущенным молоком и сахаром,321,8.2,7.5,51.6
Какао тертое,559,13.5,49.4,13.6
Калина,26,0.0,0.0,7.0
